etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts
0,0,0,0,0,0,0,0,0,0,824,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6276,0,0,0,39932648,416,0,0,0,0,6275,0,0,0,0,0,0
0,0,0,0,0,89829,0,0,0,571063376,440,0,0,0,0,89975,0,0,0,0,0,0
0,0,0,0,0,85144,0,0,0,544070344,400,0,0,0,0,85100,0,0,0,0,0,0
0,0,0,0,0,178297,0,0,0,1134982368,920,0,0,0,0,178197,0,0,0,0,0,0
0,0,0,0,0,174911,0,0,0,1113374968,896,0,0,0,0,174815,0,0,0,0,0,0
0,0,0,0,0,89424,0,0,0,569894912,480,0,0,0,0,89483,0,0,0,0,0,0
0,0,0,0,0,179582,0,0,0,1143771856,872,0,0,0,0,179602,0,0,0,0,0,0
0,0,0,0,0,87427,0,0,0,556692512,416,0,0,0,0,87423,0,0,0,0,0,0
0,0,0,0,0,89723,0,0,0,571322312,464,0,0,0,0,89730,0,0,0,0,0,0
0,0,0,0,0,90467,0,0,0,576096232,424,0,0,0,0,90461,0,0,0,0,0,0
0,0,0,0,0,89348,0,0,0,568971536,424,0,0,0,0,89338,0,0,0,0,0,0
0,0,0,0,0,90475,0,0,0,576126680,440,0,0,0,0,90475,0,0,0,0,0,0
0,0,0,0,0,85391,0,0,0,543488288,360,0,0,0,0,85383,0,0,0,0,0,0
0,0,0,0,0,178503,0,0,0,1137441640,960,0,0,0,0,178545,0,0,0,0,0,0
0,0,0,0,0,90064,0,0,0,573156728,520,0,0,0,0,90092,0,0,0,0,0,0
0,0,0,0,0,174716,0,0,0,1112435792,904,0,0,0,0,174669,0,0,0,0,0,0
0,0,0,0,0,89829,0,0,0,573186128,440,0,0,0,0,89799,0,0,0,0,0,0
0,0,0,0,0,89715,0,0,0,570717648,440,0,0,0,0,89801,0,0,0,0,0,0
0,0,0,0,0,90619,0,0,0,577127800,456,0,0,0,0,90629,0,0,0,0,0,0
0,0,0,0,0,174643,0,0,0,1112381880,888,0,0,0,0,174590,0,0,0,0,0,0
0,0,0,0,0,90043,0,0,0,572732464,528,0,0,0,0,90048,0,0,0,0,0,0
0,0,0,0,0,91667,0,0,0,584058128,424,0,0,0,0,91674,0,0,0,0,0,0
0,0,0,0,0,85209,0,0,0,542075272,448,0,0,0,0,85150,0,0,0,0,0,0
0,0,0,0,0,90346,0,0,0,575334424,440,0,0,0,0,90328,0,0,0,0,0,0
0,0,0,0,0,89649,0,0,0,571319512,416,0,0,0,0,89723,0,0,0,0,0,0
0,0,0,0,0,175812,0,0,0,1119967584,856,0,0,0,0,181438,0,0,0,0,0,0
0,0,0,0,0,89968,0,0,0,572781160,424,0,0,0,0,85571,0,0,0,0,0,0
0,0,0,0,0,89502,0,0,0,569836448,432,0,0,0,0,89574,0,0,0,0,0,0
0,0,0,0,0,90254,0,0,0,575023056,424,0,0,0,0,90239,0,0,0,0,0,0
0,0,0,0,0,89611,0,0,0,570287032,456,0,0,0,0,89625,0,0,0,0,0,0
0,0,0,0,0,175694,0,0,0,1117308688,944,0,0,0,0,175674,0,0,0,0,0,0
0,0,0,0,0,89517,0,0,0,571294800,472,0,0,0,0,89517,0,0,0,0,0,0
0,0,0,0,0,90788,0,0,0,578032416,456,0,0,0,0,90788,0,0,0,0,0,0
0,0,0,0,0,89379,0,0,0,569274728,464,0,0,0,0,89386,0,0,0,0,0,0
0,0,0,0,0,86139,0,0,0,548539352,424,0,0,0,0,86101,0,0,0,0,0,0
0,0,0,0,0,89797,0,0,0,572251064,488,0,0,0,0,89888,0,0,0,0,0,0
0,0,0,0,0,89567,0,0,0,569845952,440,0,0,0,0,89579,0,0,0,0,0,0
0,0,0,0,0,175659,0,0,0,1118425640,880,0,0,0,0,175520,0,0,0,0,0,0
0,0,0,0,0,178528,0,0,0,1137164896,880,0,0,0,0,178609,0,0,0,0,0,0
0,0,0,0,0,90712,0,0,0,577779744,432,0,0,0,0,90731,0,0,0,0,0,0
0,0,0,0,0,89358,0,0,0,568537496,512,0,0,0,0,89248,0,0,0,0,0,0
0,0,0,0,0,85925,0,0,0,547395512,424,0,0,0,0,86050,0,0,0,0,0,0
0,0,0,0,0,89748,0,0,0,571622256,440,0,0,0,0,89689,0,0,0,0,0,0
0,0,0,0,0,89726,0,0,0,571638416,448,0,0,0,0,89780,0,0,0,0,0,0
0,0,0,0,0,180076,0,0,0,1146239928,976,0,0,0,0,180156,0,0,0,0,0,0
0,0,0,0,0,86258,0,0,0,549177024,416,0,0,0,0,86168,0,0,0,0,0,0
0,0,0,0,0,89371,0,0,0,569470984,432,0,0,0,0,89372,0,0,0,0,0,0
0,0,0,0,0,90600,0,0,0,576635448,456,0,0,0,0,90601,0,0,0,0,0,0
0,0,0,0,0,88412,0,0,0,563413088,416,0,0,0,0,88421,0,0,0,0,0,0
0,0,0,0,0,176445,0,0,0,1121673776,848,0,0,0,0,176257,0,0,0,0,0,0
0,0,0,0,0,91211,0,0,0,581437968,440,0,0,0,0,91285,0,0,0,0,0,0
0,0,0,0,0,90036,0,0,0,574109288,408,0,0,0,0,90086,0,0,0,0,0,0
0,0,0,0,0,85888,0,0,0,548447496,480,0,0,0,0,86079,0,0,0,0,0,0
0,0,0,0,0,89919,0,0,0,571311600,432,0,0,0,0,89747,0,0,0,0,0,0
0,0,0,0,0,90385,0,0,0,574898232,432,0,0,0,0,90284,0,0,0,0,0,0
0,0,0,0,0,89531,0,0,0,570851416,424,0,0,0,0,89677,0,0,0,0,0,0
0,0,0,0,0,90028,0,0,0,573070400,456,0,0,0,0,89987,0,0,0,0,0,0
0,0,0,0,0,85632,0,0,0,545209800,424,0,0,0,0,85595,0,0,0,0,0,0
0,0,0,0,0,90136,0,0,0,573519232,432,0,0,0,0,90116,0,0,0,0,0,0
0,0,0,0,0,89216,0,0,0,568218944,464,0,0,0,0,89235,0,0,0,0,0,0
0,0,0,0,0,90664,0,0,0,578729520,456,0,0,0,0,90703,0,0,0,0,0,0
0,0,0,0,0,85504,0,0,0,544274840,496,0,0,0,0,85580,0,0,0,0,0,0
0,0,0,0,0,178432,0,0,0,1136351536,928,0,0,0,0,178447,0,0,0,0,0,0
0,0,0,0,0,90855,0,0,0,576901208,440,0,0,0,0,90593,0,0,0,0,0,0
0,0,0,0,0,89796,0,0,0,573260992,432,0,0,0,0,89973,0,0,0,0,0,0
0,0,0,0,0,90016,0,0,0,572770360,408,0,0,0,0,89980,0,0,0,0,0,0
0,0,0,0,0,86525,0,0,0,550950912,416,0,0,0,0,86544,0,0,0,0,0,0
0,0,0,0,0,90395,0,0,0,575896952,440,0,0,0,0,90414,0,0,0,0,0,0
0,0,0,0,0,89592,0,0,0,570460384,488,0,0,0,0,89561,0,0,0,0,0,0
0,0,0,0,0,85950,0,0,0,547162416,416,0,0,0,0,86003,0,0,0,0,0,0
0,0,0,0,0,89849,0,0,0,572281872,456,0,0,0,0,89788,0,0,0,0,0,0
0,0,0,0,0,88310,0,0,0,562360728,416,0,0,0,0,88353,0,0,0,0,0,0
0,0,0,0,0,180855,0,0,0,1151346232,960,0,0,0,0,180807,0,0,0,0,0,0
0,0,0,0,0,86148,0,0,0,548613192,424,0,0,0,0,86166,0,0,0,0,0,0
0,0,0,0,0,89200,0,0,0,567668600,488,0,0,0,0,89184,0,0,0,0,0,0
0,0,0,0,0,90514,0,0,0,576002864,456,0,0,0,0,90379,0,0,0,0,0,0
0,0,0,0,0,89914,0,0,0,572967400,464,0,0,0,0,89976,0,0,0,0,0,0
0,0,0,0,0,173735,0,0,0,1106710544,1008,0,0,0,0,173791,0,0,0,0,0,0
0,0,0,0,0,90334,0,0,0,574832224,480,0,0,0,0,90328,0,0,0,0,0,0
0,0,0,0,0,89891,0,0,0,572836400,416,0,0,0,0,89853,0,0,0,0,0,0
0,0,0,0,0,90628,0,0,0,577120664,384,0,0,0,0,90691,0,0,0,0,0,0
0,0,0,0,0,89211,0,0,0,568100720,448,0,0,0,0,89181,0,0,0,0,0,0
0,0,0,0,0,87325,0,0,0,556088936,416,0,0,0,0,87324,0,0,0,0,0,0
0,0,0,0,0,179817,0,0,0,1145452960,872,0,0,0,0,179880,0,0,0,0,0,0
0,0,0,0,0,85784,0,0,0,546211152,416,0,0,0,0,85774,0,0,0,0,0,0
0,0,0,0,0,89683,0,0,0,570671112,592,0,0,0,0,89615,0,0,0,0,0,0
0,0,0,0,0,179582,0,0,0,1143748552,936,0,0,0,0,179545,0,0,0,0,0,0
0,0,0,0,0,90651,0,0,0,577265840,448,0,0,0,0,90735,0,0,0,0,0,0
0,0,0,0,0,84980,0,0,0,541158880,408,0,0,0,0,84951,0,0,0,0,0,0
0,0,0,0,0,90204,0,0,0,574422560,424,0,0,0,0,90204,0,0,0,0,0,0
0,0,0,0,0,179349,0,0,0,1141957080,864,0,0,0,0,179341,0,0,0,0,0,0
0,0,0,0,0,90006,0,0,0,573005648,448,0,0,0,0,90034,0,0,0,0,0,0
0,0,0,0,0,85630,0,0,0,545541880,440,0,0,0,0,85595,0,0,0,0,0,0
0,0,0,0,0,90390,0,0,0,575764592,440,0,0,0,0,90420,0,0,0,0,0,0
0,0,0,0,0,89399,0,0,0,569501736,424,0,0,0,0,89430,0,0,0,0,0,0
0,0,0,0,0,90464,0,0,0,575402704,520,0,0,0,0,90368,0,0,0,0,0,0
0,0,0,0,0,87152,0,0,0,554998216,424,0,0,0,0,87180,0,0,0,0,0,0
0,0,0,0,0,89900,0,0,0,572727264,424,0,0,0,0,89948,0,0,0,0,0,0
0,0,0,0,0,89686,0,0,0,571119216,440,0,0,0,0,89688,0,0,0,0,0,0
0,0,0,0,0,175131,0,0,0,1114577216,856,0,0,0,0,175082,0,0,0,0,0,0
0,0,0,0,0,90192,0,0,0,576535080,448,0,0,0,0,90487,0,0,0,0,0,0
